n,st,Start,Stop,Time
10,100,0.746959444,0.765018477,0.018059033000000002
10,400,0.765057002,0.800614703,0.035557701
10,900,0.800645203,0.864259992,0.06361478900000006
10,2500,0.864290614,1.100907306,0.23661669200000013
10,6400,1.100944492,1.704360124,0.6034156319999999
10,10000,1.704398224,2.637502942,0.9331047179999998
50,100,2.637545907,2.705129627,0.06758372000000001
50,400,2.705160091,2.791821884,0.08666179299999976
50,900,2.791861164,2.911721649,0.1198604849999998
50,2500,2.911753003,3.21471579,0.30296278700000023
50,6400,3.214750419,3.94578016,0.731029741
50,10000,3.94582718,4.98441553,1.0385883499999995
100,100,4.984459535,5.117441159,0.13298162400000013
100,400,5.11747128,5.269230312,0.15175903200000018
100,900,5.269260132,5.53528943,0.2660292979999994
100,2500,5.535321134,5.854809109,0.3194879749999995
100,6400,5.854853238,6.73385603,0.8790027920000005
100,10000,6.733917538,8.110853671,1.3769361329999992
500,100,8.110904355,8.820934049,0.7100296939999993
500,400,8.820964806,9.549137409,0.7281726030000009
500,900,9.549169879,10.437696054,0.8885261749999991
500,2500,10.437730292,11.730917323,1.2931870310000004
500,6400,11.730975429,14.248949352,2.5179739229999996
500,10000,14.248996684,17.896032206,3.6470355220000013
1000,100,17.896077275,19.483320026,1.5872427510000016
1000,400,19.483350997,21.107281307,1.6239303100000022
1000,900,21.107317404,22.943001195,1.835683791000001
1000,2500,22.943043408,25.283756262,2.3407128539999995
1000,6400,25.283817397,29.820413825,4.536596427999999
1000,10000,29.820490142,36.496308134,6.6758179920000025
5000,100,36.496374097,49.510604692,13.014230595
5000,400,49.51064684,60.761351804,11.250704964
5000,900,60.761394601,73.523447198,12.762052597
5000,2500,73.523509203,89.616265742,16.092756538999993
5000,6400,89.616314547,115.685652398,26.069337851
5000,10000,115.685702335,151.498777404,35.81307506900001
10000,100,151.498843478,192.424569201,40.925725723
10000,400,192.424618471,225.592265714,33.167647243000005
10000,900,225.592314847,258.554482587,32.962167739999984
10000,2500,258.55454569,298.426921661,39.872375971
10000,6400,298.426981229,359.818153676,61.39117244700003
10000,10000,359.818214096,442.031734647,82.21352055099999
