n,st,Start,Stop,Time
100,10000,371931.065644366,371932.421358554,1.3557141879573464
100,40000,371932.421435243,371941.496742433,9.07530719001079
100,250000,371941.496787933,371980.85448069,39.35769275698112
100,1000000,371980.854526738,372152.474193669,171.61966693098657
500,10000,372152.474239534,372156.008068796,3.5338292620144784
500,40000,372156.008114304,372169.191727222,13.18361291801557
500,250000,372169.191792036,372261.654326581,92.46253454498947
500,1000000,372261.654390673,372656.79191277,395.1375220970367
1000,10000,372656.791976717,372663.031978159,6.240001441969071
1000,40000,372663.032039605,372686.603100356,23.571060750982724
1000,250000,372686.603165488,372842.24898183,155.64581634203205
1000,1000000,372842.249044707,373530.579254646,688.3302099390421
5000,10000,373530.579316566,373563.665940611,33.08662404498318
5000,40000,373563.666004866,373675.496381205,111.83037633897038
5000,250000,373675.496447527,374377.082788345,701.5863408179721
5000,1000000,374377.08285361,377410.387616014,3033.3047624040046
10000,10000,377410.387679866,377485.502687042,75.11500717600575
10000,40000,377485.502751308,377717.779630816,232.2768795079901
10000,250000,377717.779694268,379117.232437884,1399.4527436160133
10000,1000000,379117.232503171,385583.393185074,6466.160681902955
